Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
03/01/2020;195;190;195;190;7;1 348;5.41%
06/01/2020;200;195;200;195;884;174 590;2.56%
08/01/2020;215;215;215;215;100;21 500;7.50%
09/01/2020;225;230;230;225;425;96 688;4.65%
10/01/2020;225;225;225;225;387;87 075;0.00%
13/01/2020;225;225;225;225;176;39 600;0.00%
14/01/2020;225;230;230;225;608;138 320;0.00%
15/01/2020;225;230;230;225;767;174 493;0.00%
16/01/2020;210;230;230;210;7 184;1 580 480;-6.67%
17/01/2020;210;210;210;210;301;63 210;0.00%
20/01/2020;210;210;210;210;407;85 470;0.00%
21/01/2020;225;225;225;225;284;63 900;7.14%
22/01/2020;225;225;225;225;30;6 750;0.00%
23/01/2020;240;240;240;240;2;480;6.67%
24/01/2020;255;255;255;255;50;12 750;6.25%
27/01/2020;245;240;245;240;324;78 570;-3.92%
28/01/2020;245;245;245;245;300;73 500;0.00%
29/01/2020;240;245;245;240;146;35 405;-2.04%
30/01/2020;240;240;240;240;797;191 280;0.00%
31/01/2020;240;240;240;240;142;34 080;0.00%
03/02/2020;235;235;235;235;630;148 050;-2.08%
04/02/2020;235;235;235;235;901;211 735;0.00%
05/02/2020;230;230;230;230;1 207;277 610;-2.13%
06/02/2020;240;240;240;240;5;1 200;4.35%
07/02/2020;230;230;230;230;225;51 750;-4.17%
10/02/2020;230;240;240;230;44;10 340;0.00%
11/02/2020;240;240;240;240;170;40 800;4.35%
12/02/2020;240;240;240;240;170;40 800;0.00%
17/02/2020;230;230;230;230;520;119 600;-4.17%
20/02/2020;230;230;230;230;187;43 010;0.00%
28/02/2020;230;230;230;230;145;33 350;0.00%
02/03/2020;230;230;230;230;75;17 250;0.00%
03/03/2020;230;235;235;230;151;35 108;0.00%
04/03/2020;225;230;230;225;185;42 088;-2.17%
05/03/2020;225;225;225;225;58;13 050;0.00%
06/03/2020;225;225;225;225;4;900;0.00%
09/03/2020;210;210;210;210;200;42 000;-6.67%
10/03/2020;210;210;210;210;504;105 840;0.00%
11/03/2020;210;210;210;210;462;97 020;0.00%
12/03/2020;210;210;210;210;5;1 050;0.00%
13/03/2020;200;200;200;200;650;130 000;-4.76%
16/03/2020;200;200;200;200;969;193 800;0.00%
17/03/2020;210;210;210;210;489;102 690;5.00%
18/03/2020;225;210;225;210;89;19 358;7.14%
19/03/2020;210;230;230;210;386;84 920;-6.67%
23/03/2020;210;210;210;210;525;110 250;0.00%
24/03/2020;210;215;215;210;1 723;366 138;0.00%
25/03/2020;215;215;215;215;412;88 580;2.38%
26/03/2020;220;220;220;220;25;5 500;2.33%
30/03/2020;220;220;220;220;970;213 400;0.00%
01/04/2020;240;235;240;235;2 410;572 375;2.13%
02/04/2020;240;250;250;240;114;27 930;0.00%
03/04/2020;225;240;240;225;320;74 400;-6.25%
06/04/2020;240;240;240;240;305;73 200;6.67%
07/04/2020;240;240;240;240;225;54 000;0.00%
08/04/2020;240;245;245;240;215;52 138;0.00%
09/04/2020;250;240;250;240;221;54 145;4.17%
10/04/2020;250;250;250;250;530;132 500;0.00%
13/04/2020;250;250;250;250;530;132 500;0.00%
14/04/2020;265;265;265;265;1 005;266 325;6.00%
16/04/2020;275;270;275;270;135;36 788;3.77%
20/04/2020;285;280;285;280;225;63 563;3.64%
21/04/2020;285;285;285;285;328;93 480;0.00%
22/04/2020;285;285;285;285;500;142 500;0.00%
24/04/2020;285;285;285;285;15;4 275;0.00%
28/04/2020;280;280;280;280;40;11 200;-1.75%
29/04/2020;265;275;275;265;2 025;546 750;-5.36%
04/05/2020;250;250;250;250;139;34 750;-5.66%
05/05/2020;235;235;235;235;70;16 450;-6.00%
07/05/2020;225;225;225;225;450;101 250;-4.26%
08/05/2020;210;215;215;210;354;75 225;-6.67%
11/05/2020;195;205;205;195;1 975;395 000;-7.14%
12/05/2020;195;195;195;195;391;76 245;0.00%
15/05/2020;200;200;200;200;9;1 800;2.56%
19/05/2020;205;205;205;205;300;61 500;2.50%
26/05/2020;200;200;200;200;100;20 000;-2.44%
29/05/2020;210;210;210;210;2;420;5.00%
01/06/2020;210;210;210;210;2;420;0.00%
02/06/2020;200;200;200;200;1 150;230 000;-4.76%
03/06/2020;200;200;200;200;1 000;200 000;0.00%
04/06/2020;200;200;200;200;1 638;327 600;0.00%
08/06/2020;200;210;210;200;2 480;508 400;0.00%
09/06/2020;215;215;215;215;1;215;7.50%
10/06/2020;230;230;230;230;1;230;6.98%
11/06/2020;245;245;245;245;1;245;6.52%
12/06/2020;245;250;250;245;28;6 930;0.00%
15/06/2020;245;245;245;245;60;14 700;0.00%
16/06/2020;240;245;245;240;60;14 550;-2.04%
17/06/2020;240;245;245;240;973;235 953;0.00%
18/06/2020;240;240;240;240;2 938;705 120;0.00%
19/06/2020;240;240;240;240;932;223 680;0.00%
22/06/2020;240;240;240;240;3 071;737 040;0.00%
23/06/2020;245;245;245;245;1 374;336 630;2.08%
24/06/2020;250;250;250;250;367;91 750;2.04%
25/06/2020;250;250;250;250;601;150 250;0.00%
26/06/2020;250;250;250;250;3 388;847 000;0.00%
30/06/2020;235;250;250;235;201;48 743;0.00%
01/07/2020;235;235;235;235;1;235;0.00%
03/07/2020;235;235;235;235;1;235;0.00%
06/07/2020;220;235;235;220;59;13 423;-6.38%
07/07/2020;220;225;225;220;98;21 805;0.00%
08/07/2020;220;220;220;220;302;66 440;0.00%
13/07/2020;210;210;210;210;1;210;-4.55%
15/07/2020;210;215;215;210;18 949;4 026 663;0.00%
16/07/2020;210;210;210;210;1 200;252 000;0.00%
17/07/2020;195;195;195;195;28;5 460;-7.14%
20/07/2020;200;200;200;200;801;160 200;2.56%
21/07/2020;215;215;215;215;2;430;7.50%
23/07/2020;230;230;230;230;5;1 150;6.98%
24/07/2020;245;245;245;245;41;10 045;6.52%
27/07/2020;230;230;230;230;40;9 200;-6.12%
28/07/2020;215;215;215;215;72;15 480;-6.52%
29/07/2020;220;220;220;220;120;26 400;2.33%
30/07/2020;225;225;225;225;15;3 375;2.27%
31/07/2020;225;225;225;225;15;3 375;0.00%
03/08/2020;220;225;225;220;140;31 150;-2.22%
04/08/2020;220;220;220;220;2 743;603 460;0.00%
05/08/2020;210;210;210;210;49;10 290;-4.55%
10/08/2020;200;200;200;200;35;7 000;-4.76%
11/08/2020;215;215;215;215;1;215;7.50%
12/08/2020;215;220;220;215;81;17 618;0.00%
13/08/2020;200;215;215;200;300;62 250;-6.98%
18/08/2020;200;200;200;200;230;46 000;0.00%
21/08/2020;210;210;210;210;3 080;646 800;5.00%
25/08/2020;210;210;210;210;5;1 050;0.00%
26/08/2020;195;195;195;195;100;19 500;-7.14%
28/08/2020;185;185;185;185;1 807;334 295;-5.13%
31/08/2020;175;175;175;175;2 393;418 775;-5.41%
02/09/2020;165;165;165;165;137;22 605;-5.71%
04/09/2020;175;175;175;175;1 200;210 000;6.06%
07/09/2020;175;165;175;165;333;56 610;0.00%
08/09/2020;175;175;175;175;212;37 100;0.00%
10/09/2020;175;175;175;175;35;6 125;0.00%
14/09/2020;185;185;185;185;10;1 850;5.71%
15/09/2020;185;185;185;185;171;31 635;0.00%
17/09/2020;180;180;180;180;2;360;-2.70%
18/09/2020;185;180;185;180;508;92 710;2.78%
21/09/2020;195;180;195;180;601;112 688;5.41%
02/10/2020;210;210;210;210;190;39 900;2.44%
05/10/2020;210;210;210;210;6;1 260;0.00%
06/10/2020;210;210;210;210;207;43 470;0.00%
07/10/2020;210;210;210;210;85;17 850;0.00%
08/10/2020;225;210;225;210;517;112 448;7.14%
09/10/2020;225;225;225;225;200;45 000;0.00%
12/10/2020;220;220;220;220;776;170 720;-2.22%
14/10/2020;220;220;220;220;1;220;0.00%
15/10/2020;220;220;220;220;10;2 200;0.00%
19/10/2020;215;215;215;215;60;12 900;-2.27%
20/10/2020;215;215;215;215;44;9 460;0.00%
22/10/2020;210;210;210;210;167;35 070;-2.33%
23/10/2020;195;195;195;195;200;39 000;-7.14%
26/10/2020;195;195;195;195;107;20 865;0.00%
27/10/2020;195;195;195;195;48;9 360;0.00%
28/10/2020;185;185;185;185;75;13 875;-5.13%
29/10/2020;185;185;185;185;75;13 875;0.00%
30/10/2020;185;185;185;185;153;28 305;0.00%
03/11/2020;185;185;185;185;101;18 685;0.00%
04/11/2020;185;185;185;185;1 167;215 895;0.00%
05/11/2020;185;185;185;185;301;55 685;0.00%
09/11/2020;175;175;175;175;637;111 475;-5.41%
11/11/2020;175;175;175;175;94;16 450;0.00%
12/11/2020;175;175;175;175;506;88 550;0.00%
13/11/2020;175;175;175;175;150;26 250;0.00%
19/11/2020;185;185;185;185;1;185;5.71%
20/11/2020;195;195;195;195;4;780;5.41%
23/11/2020;205;205;205;205;1;205;5.13%
24/11/2020;195;195;195;195;50;9 750;-4.88%
25/11/2020;205;205;205;205;6;1 230;5.13%
27/11/2020;200;200;200;200;83;16 600;-2.44%
30/11/2020;200;200;200;200;17;3 400;0.00%
01/12/2020;205;200;205;200;14 943;3 025 958;2.50%
02/12/2020;190;190;190;190;60;11 400;-7.32%
15/12/2020;195;195;195;195;15;2 925;2.63%
16/12/2020;200;200;200;200;5 514;1 102 800;2.56%
17/12/2020;200;200;200;200;154;30 800;0.00%
18/12/2020;200;200;200;200;66 011;13 202 200;0.00%
23/12/2020;215;215;215;215;3;645;7.50%
24/12/2020;200;200;200;200;453;90 600;-6.98%
25/12/2020;200;200;200;200;453;90 600;0.00%
29/12/2020;195;185;195;185;3 404;646 760;5.41%
30/12/2020;195;195;195;195;25;4 875;0.00%
31/12/2020;185;185;185;185;15;2 775;-5.13%
05/01/2021;185;185;185;185;840;155 400;0.00%
06/01/2021;185;180;185;180;2 336;426 320;0.00%
07/01/2021;190;190;190;190;100;19 000;2.70%
11/01/2021;200;200;200;200;35;7 000;5.26%
12/01/2021;200;200;200;200;1;200;0.00%
13/01/2021;200;200;200;200;1 464;292 800;0.00%
14/01/2021;200;200;200;200;52;10 400;0.00%
18/01/2021;200;200;200;200;245;49 000;0.00%
19/01/2021;200;200;200;200;15;3 000;0.00%
20/01/2021;200;200;200;200;135;27 000;0.00%
21/01/2021;195;195;195;195;165;32 175;-2.50%
22/01/2021;200;195;200;195;580;114 550;2.56%
26/01/2021;200;200;200;200;2 528;505 600;0.00%
27/01/2021;200;200;200;200;3 086;617 200;0.00%
28/01/2021;200;200;200;200;605;121 000;0.00%
